#55: Digital Twin Approach for Solving Reconfiguration Planning Problems in RMS;#48: An Approach to Jointly Optimize the Process Plan, Scheduling, and Layout Design in Reconfigurable Manufacturing Systems;#94 A new Simulation-Based Approach in the Design of Manufacturing Systems and Real Time Decision Making ;#89 Toward a Real-Time Reconfiguration of Self-Adaptive Smart Assembly Systems;# 83 Cyber-physical production systems: enhancement with a self-organized reconfiguration management;# 78 A design methodology for modular processes orchestration;# 72 Digital twin-driven rapid reconfiguration of the automated manufacturing system via an open architecture model;# 68 Resilience dynamics modeling and control for a reconfigurable electronic assembly line under spatio-temporal disruptions;# 63 Data-driven and autonomous manufacturing control in cyber-physical production systems;# 58 An Adaptive Algorithm for Multiple Part Families Manufacturing Selection in Reconfigurable Flow Lines;# 44 Reconfiguration of Flexible Manufacturing Systems Considering Product Morpho-Dimensional Characteristics and Modular Design;# 19 Critical Path Control of Dynamic Reconfigurable Manufacturing Systems Based on NCESs;#34 Sustainable reconfigurable manufacturing system design using adapted multi-objective evolutionary-based approaches;#40 Generic Framework for Holonic Modelling and Multi-Agent Based Verification of Reconfigurable Manufacturing Systems;# 30 A heuristic-based non-linear mixed integer approach for optimizing modularity and integrability in a sustainable reconfigurable manufacturing environment;# 26 Optimal sequence planning for multi-model reconfigurable assembly systems;# 15 CPS-Based Self-Adaptive Collaborative Control for Smart Production-Logistics Systems;# 11 Industrial Application of a MDM-Based Approach for Generation and Impact Analysis of Adaptation Options - a Case Study
;;;;;;;;;;;;;;;;;
1: Demand change;1 considering several jobs and changing demand over several periods;2 the paper does not explicitly describe how they identify the reconfiguration needs, but they to consider the resource status and the new orders, before they generat a reconfiguration plan;0 human enters the new configuration ;2;0;1 only product;1 only system based;0 is considering different orders, but the identification of reconfiguration demand is not implemented. With every new order a configuration is planned. ;0;1 based on similarity mesures of already produced products;1 they define certain events which trigger the reconfiguration;0;0 they do write that operational and strategic triggers are relevant, but they do not identify them. They only compare results of simulation if the configuration is meeting the desired throughput;0;0 planning of a period based on the specified demand;1 is including different scenarios for machine failure ;1
3;5;2;1;5;5;7;2;4;3;2;1;5;0;5;5;2;2
0;2;0;1;1;1;2;1;0;1;1;1;2;0;3;1;0;1
0;1 HW and SW are modelled together;0;1 the hardware components are the same, but they are build on movable axis so that they can be adjusted;1;0;1;0;0;1;0 it is wirtten that there should be considered fixtures etc., but in the approach description only the software is described;1 they write that they consider also HW, but don´t specify in detail how this is included, as they only have one petri-net representing a machine. So reconfiguration is modeled as alternetive path in the petri net;2 considers different tools and movement directions depending on the machine configuration;0;2;1 they do consider different configurations, but only at the level of there are diffent configurations and describe which machine can take which configuration and produce a certain component in that configuration. No details of which hardeware is selected in which configuration ;0;1
0;1;0;0 they use an user interface in order to provide the parameters needed to adjust/position the components, but no software reconfiguration is considered e.g. adding new functions ;1;1;2;1;0;0;1;1;1 only written in text that it is considered, but not how. Can be seen as condidered due to the different configurations a machine takes;0;2;1 same as for hardware;0;1
2;3;2;0;3;3;3;1;3;2;1;0;2;0;2;2;1;1
1;1;1;0;1;1;1;1;1;1;1;0;1;0;1;0 each machine is needed;1;0
0;1;0 the new layouts are generated manually/is not described how these are generated;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
0;0 they describe that the sequence can be adapted, but it is not shown in the example/the example does not need an adaption of the sequence;0 they do write in their abstract that they consider allocation, but in the approach description it is not considered.;0;2 Parametization +Allocation;2 Sequence + Parametization;3;0;1 the sequence is adapted;1 different sequences for different part families are considered;0;0;1 sequence;0;1 sequence;0 the sequence is considered, but in the sense of which product is manufactured after each other and not the sequence of the manufacturing processes ;0 adapts the sequence of machines within one cell, which consists of several machines, but the order of processes is the same;1 parametization
1;1;1 the schedule is not generated by the approach, but they consider schedules which contain several orders.;0 it is only considered one order at the time, but several products are considered in general, but no plan is created. The user has to select, which product is assembled at the time;0;2;0;0;2;0 no orders are considered, it is assumed that each part family has to be produced ;0;0;0;0;0;1 the demand is considered for several products, including some priority measures and the delivery due date;0;0
1;0;0 only one configuration is generated based on the form the user selected goals;0;1;1;2 diveded into upper and lower level reconfiguration, with different goals;0;1 diveded into smaller problems;0;0;0 they consider a fixed set of configurations;1 intelligent solution space exploration based on GA;0;0;2;1 divides the optimization into system, cell and machine level;0
